sp;BodyMass.Value;Nocturnal;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;PelagicSpecialist;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2;Diet.5Cat;Migrant
Accipiter_bicolor;287.54;0;0;0;0;33;33;33;0;0;NA;NA;NA;VertFishScav;0
Accipiter_striatus;130.59;0;0;0;0;25;25;25;25;0;NA;NA;NA;VertFishScav;0
Alopochelidon_fucata;13.96;0;0;0;0;80;20;0;0;0;4.5;NA;4.08E+12;Invertebrate;0
Chrysuronia_versicolor;4.1;0;0;0;0;30;40;30;0;0;2;NA;5.11E+12;FruiNect;0
Amazona_aestiva;451;0;0;0;0;30;40;30;0;0;3;NA;5.86E+12;Omnivore;0
Amazona_farinosa;625.99;0;0;0;0;0;60;40;0;0;3;NA;6.79E+12;Omnivore;0
Amazonetta_brasiliensis;499.99;0;0;20;80;0;0;0;0;0;7;1;8.74E+12;Omnivore;0
Ammodramus_humeralis;15.99;0;0;0;60;30;10;0;0;0;2.75;NA;9.12E+12;PlantSeed;0
Anabazenops_fuscus;39;0;0;0;10;20;70;0;0;0;NA;NA;3.73E+11;Invertebrate;0
Anhinga_anhinga;1235;0;100;0;0;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Anthracothorax_nigricollis;7;0;0;0;0;10;30;40;20;0;2;2.5;1.02E+11;FruiNect;1
Aramides_cajaneus;397;0;0;50;50;0;0;0;0;0;4.3;NA;1.30E+13;Omnivore;0
Aramides_saracura;540;0;0;30;70;0;0;0;0;0;4.5;NA;9.29E+11;Invertebrate;0
Aramus_guarauna;1080;0;0;50;50;0;0;0;0;0;NA;NA;NA;Omnivore;0
Ardea_alba;1752.44;0;0;100;0;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Ardea_cocoi;1752.44;0;0;100;0;0;0;0;0;0;3;NA;1.47E+13;VertFishScav;0
Arremon_semitorquatus;28.08;0;0;0;80;20;0;0;0;0;2;NA;2.15E+11;Omnivore;0
Asemospiza_fuliginosa;13.3;0;0;0;100;0;0;0;0;0;NA;NA;9.52E+11;Omnivore;0
Athene_cunicularia;150.61;1;0;0;80;10;10;0;0;0;NA;NA;NA;VertFishScav;0
Attila_phoenicurus;32.3;0;0;0;0;33;33;33;0;0;NA;NA;5.52E+11;Invertebrate;1
Attila_rufus;42.6;0;0;0;25;25;25;25;0;0;NA;NA;3.43E+11;Invertebrate;0
Automolus_leucophthalmus;34.5;0;0;0;0;80;20;0;0;0;3.5;NA;1.80E+12;Invertebrate;0
Baryphthengus_ruficapillus;141.65;0;0;0;50;20;30;0;0;0;NA;NA;1.57E+12;Invertebrate;0
Basileuterus_culicivorus;10.5;0;0;0;0;70;30;0;0;0;NA;NA;NA;Invertebrate;0
Brotogeris_chiriri;61.6;0;0;0;30;30;20;20;0;0;5;1;3.80E+12;FruiNect;0
Brotogeris_tirica;63;0;0;0;0;20;20;60;0;0;4;NA;2.89E+11;PlantSeed;0
Bubulcus_ibis;365.95;0;0;30;70;0;0;0;0;0;NA;NA;NA;Invertebrate;0
Buteo_brachyurus;496.01;0;0;0;0;0;0;80;20;0;2;NA;766976987.7;VertFishScav;0
Buteogallus_coronatus;2950;0;0;0;100;0;0;0;0;0;1;NA;4.23E+12;VertFishScav;0
Buteogallus_meridionalis;807.99;0;0;0;100;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Butorides_striata;201.5;0;0;80;20;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Cacicus_chrysopterus;36.16;0;0;0;0;0;80;20;0;0;NA;NA;1.63E+12;Omnivore;0
Cairina_moschata;2415.78;0;0;50;50;0;0;0;0;0;NA;NA;NA;Omnivore;0
