	sp	BodyMass.Value	Nocturnal	ForStrat.watbelowsurf	ForStrat.wataroundsurf	ForStrat.ground	ForStrat.understory	ForStrat.midhigh	ForStrat.canopy	ForStrat.aerial	PelagicSpecialist	litter_or_clutch_size_n	litters_or_clutches_per_y	range_m2
306	Sporophila_leucoptera	15.5	0	0	0	70	30	0	0	0	0	NA	NA	3.78E+12
307	Sporophila_lineola	9.8	0	0	0	30	70	0	0	0	0	2.5	NA	1.53E+12
308	Sporophila_nigricollis	9.6	0	0	0	30	70	0	0	0	0	2.25	2	7.14E+12
309	Stelgidopteryx_ruficollis	16.1	0	0	0	0	40	60	0	0	0	5.2	1	1.19E+12
310	Stephanoxis_lalandi	4	0	0	0	0	60	20	10	10	0	2	NA	3.01E+11
311	Stilpnia_cayana	18	0	0	0	0	30	40	30	0	0	NA	NA	NA
312	Streptoprocne_zonaris	86.79	0	0	0	0	0	0	0	100	0	NA	NA	NA
313	Strix_huhula	370	1	0	0	10	10	10	70	0	0	1	NA	NA
314	Synallaxis_cinerascens	13.1	0	0	0	50	50	0	0	0	0	3	NA	1.22E+12
315	Synallaxis_ruficapilla	13.8	0	0	0	20	60	20	0	0	0	2.4	NA	1.17E+12
316	Synallaxis_spixi	12.6	0	0	0	20	80	0	0	0	0	3.9	NA	1.34E+12
317	Syrigma_sibilatrix	463	0	30	70	0	0	0	0	0	0	4	NA	4.24E+12
318	Tachycineta_leucorrhoa	15.3	0	0	0	0	80	20	0	0	0	5.3	NA	5.02E+12
319	Tachycineta_leucorrhoa	15.3	0	0	0	0	80	20	0	0	0	5.3	NA	1.36E+12
320	Tachyphonus_coronatus	29.3	0	0	0	0	20	40	40	0	0	NA	NA	1.49E+12
321	Tangara_cyanoventris	16.5	0	0	0	0	20	40	40	0	0	NA	NA	4.76E+11
322	Tapera_naevia	48.42	0	0	0	50	30	20	0	0	0	NA	NA	NA
323	Terenura_maculata	6.5	0	0	0	0	0	70	30	0	0	NA	NA	7.84E+11
324	Tersina_viridis	29	0	0	0	0	10	60	30	0	0	2.5	1.5	8.76E+12
325	Thalurania_glaucopis	4.8	0	0	0	0	60	40	0	0	0	2	NA	1.42E+12
326	Thamnophilus_caerulescens	21.1	0	0	0	0	60	40	0	0	0	2.4	NA	3.97E+12
327	Thamnophilus_ruficapillus	20.4	0	0	0	0	20	80	0	0	0	2.4	NA	1.39E+12
328	Theristicus_caudatus	1726	0	0	0	100	0	0	0	0	0	2.9	NA	5.15E+12
329	Thlypopsis_sordida	17	0	0	0	0	0	70	30	0	0	2	NA	6.84E+12
330	Thraupis_ornata	33	0	0	0	10	10	20	60	0	0	NA	NA	NA
331	Thraupis_palmarum	39	0	0	0	0	0	20	70	10	0	NA	NA	NA
332	Thraupis_sayaca	32.49	0	0	0	10	0	20	70	0	0	NA	NA	NA
333	Tigrisoma_lineatum	812.99	0	0	80	20	0	0	0	0	0	2	NA	1.32E+13
334	Tityra_cayana	68.1	0	0	0	0	50	50	0	0	0	3	NA	5.11E+12
335	Tityra_inquisitor	43.1	0	0	0	0	0	100	0	0	0	3	NA	766976987.7
336	Todirostrum_cinereum	6.29	0	0	0	0	33	33	33	0	0	NA	NA	NA
337	Todirostrum_poliocephalum	6.96	0	0	0	0	40	60	0	0	0	NA	NA	4.65E+11
338	Tolmomyias_sulphurescens	14.3	0	0	0	0	30	70	0	0	0	NA	NA	NA
339	Trichothraupis_melanops	22.58	0	0	0	30	30	20	10	10	0	3	NA	2.47E+12
340	Troglodytes_aedon	10.85	0	0	0	0	100	0	0	0	0	NA	NA	NA
341	Trogon_surrucura	73.29	0	0	0	0	0	100	0	0	0	3	NA	1.37E+12
342	Trogon_surrucura	73.29	0	0	0	0	0	100	0	0	0	3	NA	1.37E+12
343	Turdus_albicollis	54	0	0	0	80	0	20	0	0	0	2.4	3	8.53E+12
344	Turdus_amaurochalinus	57.9	0	0	0	20	20	30	30	0	0	3	NA	4.48E+12
345	Turdus_amaurochalinus	57.9	0	0	0	20	20	30	30	0	0	3	NA	3.77E+12
346	Turdus_flavipes	65.14	0	0	0	10	30	30	30	0	0	NA	NA	9.09E+11
347	Turdus_flavipes	65.14	0	0	0	10	30	30	30	0	0	NA	NA	31553933545
348	Turdus_leucomelas	69.1	0	0	0	60	20	20	0	0	0	3	3	7.69E+12
349	Turdus_rufiventris	69.44	0	0	0	100	0	0	0	0	0	3.2	NA	5.03E+12
350	Turdus_subalaris	49.5	0	0	0	20	40	40	0	0	0	3	NA	1.63E+12
351	Turdus_subalaris	49.5	0	0	0	20	40	40	0	0	0	3	NA	5.35E+11
352	Tyrannus_melancholicus	37.4	0	0	0	0	0	50	50	0	0	NA	NA	NA
353	Tyrannus_savana	31.9	0	0	0	50	50	0	0	0	0	2.45	NA	1.70E+12
354	Tyrannus_savana	31.9	0	0	0	50	50	0	0	0	0	2.45	NA	5.40E+12
355	Tyto_alba	403.32	1	0	0	90	10	0	0	0	0	NA	NA	NA
356	Vanellus_chilensis	327	0	0	20	80	0	0	0	0	0	4	NA	1.33E+13
357	Vireo_chivi	16.06	0	0	0	0	0	20	80	0	0	3	NA	2.80E+12
358	Vireo_chivi	16.06	0	0	0	0	0	20	80	0	0	3	NA	1.37E+11
359	Vireo_chivi	16.06	0	0	0	0	0	20	80	0	0	3	NA	1.13E+13
360	Volatinia_jacarina	10.2	0	0	0	100	0	0	0	0	0	NA	NA	NA
361	Xenops_rutilans	11.2	0	0	0	0	20	80	0	0	0	2.5	NA	NA
362	Xiphocolaptes_albicollis	118	0	0	0	0	0	100	0	0	0	2	NA	2.10E+12
363	Xiphorhynchus_fuscus	21.8	0	0	0	0	50	50	0	0	0	2.2	NA	1.95E+12
364	Xolmis_cinereus	57.1	0	0	0	100	0	0	0	0	0	2.4	NA	6.89E+12
365	Xolmis_velatus	49.08	0	0	0	100	0	0	0	0	0	NA	NA	3.62E+12
366	Zenaida_auriculata	110.2	0	0	0	20	20	40	20	0	0	NA	NA	NA
367	Zonotrichia_capensis	20.31	0	0	0	100	0	0	0	0	0	NA	NA	NA
