	sp	BodyMass.Value	Nocturnal	ForStrat.watbelowsurf	ForStrat.wataroundsurf	ForStrat.ground	ForStrat.understory	ForStrat.midhigh	ForStrat.canopy	ForStrat.aerial	PelagicSpecialist	litter_or_clutch_size_n	litters_or_clutches_per_y	range_m2
90	Cyclarhis_gujanensis	28.8	0	0	0	0	40	40	20	0	0	NA	NA	NA
91	Dacnis_cayana	13	0	0	0	0	0	30	60	10	0	2	NA	56501792441
92	Dendrocolaptes_latirostris	61.7	0	0	0	50	50	0	0	0	0	NA	NA	NA
93	Dendrocolaptes_platyrostris	61.7	0	0	0	50	50	0	0	0	0	NA	NA	3.89E+12
94	Dendrocygna_autumnalis	755.3	0	0	50	50	0	0	0	0	0	NA	NA	NA
95	Dendroma_rufa	25	0	0	0	0	0	40	60	0	0	NA	NA	NA
96	Donacobius_atricapilla	36.8	0	0	0	0	50	50	0	0	0	2.2	NA	8.62E+12
97	Dromococcyx_pavoninus	46.4	0	0	0	50	50	0	0	0	0	1	NA	3.10E+12
98	Drymophila_ferruginea	10.6	0	0	0	0	30	70	0	0	0	NA	NA	5.06E+11
99	Dryobates_spilogaster	40.3	0	0	0	0	50	50	0	0	0	NA	NA	NA
100	Dryocopus_lineatus	183.19	0	0	0	20	20	60	0	0	0	NA	NA	NA
101	Dysithamnus_mentalis	14.87	0	0	0	0	40	40	20	0	0	NA	NA	NA
102	Egretta_thula	371	0	0	70	30	0	0	0	0	0	NA	NA	NA
103	Elaenia_chiriquensis	15.4	0	0	0	0	40	60	0	0	0	2	1.5	7.21E+12
104	Elaenia_flavogaster	24.8	0	0	0	0	20	40	30	10	0	NA	NA	NA
105	Elaenia_mesoleuca	17.6	0	0	0	0	20	40	40	0	0	2.4	NA	2.22E+12
106	Elaenia_parvirostris	13.8	0	0	0	0	33	33	33	0	0	2.4	NA	8.22E+12
107	Elaenia_parvirostris	13.8	0	0	0	0	33	33	33	0	0	2.4	NA	2.74E+12
108	Elaenia_spectabilis	27.3	0	0	0	0	0	0	100	0	0	2	NA	2.88E+12
109	Elaenia_spectabilis	27.3	0	0	0	0	0	0	100	0	0	2	NA	5.65E+12
110	Elanoides_forficatus	416.24	0	0	0	0	50	50	0	0	0	2	1	1.26E+13
111	Elanus_leucurus	346	0	0	0	80	0	0	0	20	0	NA	NA	NA
112	Eleoscytalopus_indigoticus	16.15	0	0	0	60	40	0	0	0	0	2	NA	4.55E+11
113	Emberizoides_herbicola	25.1	0	0	0	70	30	0	0	0	0	2	NA	5.55E+12
114	Empidonomus_varius	27.1	0	0	0	0	30	70	0	0	0	2.2	NA	7.74E+12
115	Empidonomus_varius	27.1	0	0	0	0	30	70	0	0	0	2.2	NA	2.80E+12
116	Estrilda_astrild	8.29	0	0	0	50	50	0	0	0	0	NA	NA	NA
117	Eupetomena_cirrochloris	7.7	0	0	0	0	80	20	0	0	0	NA	NA	NA
118	Eupetomena_macroura	9	0	0	0	0	0	60	30	10	0	2	NA	4.59E+12
119	Euphonia_chlorotica	11	0	0	0	0	0	10	90	0	0	3.9	NA	9.44E+12
120	Euphonia_cyanocephala	14	0	0	0	0	20	40	40	0	0	3.2	NA	2.71E+12
121	Euphonia_pectoralis	14.4	0	0	0	0	0	30	70	0	0	3	NA	1.36E+12
122	Euphonia_violacea	15	0	0	0	0	30	40	30	0	0	3.75	NA	4.92E+12
123	Falco_femoralis	335.76	0	0	0	30	30	20	10	10	0	NA	NA	NA
124	Falco_peregrines	759.95	0	0	0	20	20	20	20	20	0	NA	NA	NA
125	Falco_sparverius	114.61	0	0	0	50	40	10	0	0	0	NA	NA	NA
126	Florisuga_fusca	8.1	0	0	0	0	30	60	0	10	0	2	NA	6.70E+11
127	Florisuga_fusca	8.1	0	0	0	0	30	60	0	10	0	2	NA	5481117792
128	Fluvicola_nengeta	21	0	0	0	60	40	0	0	0	0	NA	NA	3.64E+12
129	Formicivora_acutirostris	10	0	0	0	50	50	0	0	0	0	2	NA	880775217.6
130	Forpus_xanthopterygius	31	0	0	0	100	0	0	0	0	0	5.15	NA	5.78E+12
131	Furnarius_figulus	28	0	0	0	100	0	0	0	0	0	2	NA	1.97E+12
132	Furnarius_rufus	46.42	0	0	0	70	30	0	0	0	0	3.2	NA	6.18E+12
133	Gallinula_galeata	339.63	0	0	20	60	20	0	0	0	0	NA	NA	NA
134	Geothlypis_aequinoctialis	13.1	0	0	0	0	100	0	0	0	0	2	NA	1.31E+11
135	Geothlypis_aequinoctialis	13.1	0	0	0	0	100	0	0	0	0	2	NA	5.51E+12
136	Geothlypis_aequinoctialis	13.1	0	0	0	0	100	0	0	0	0	2	NA	1.74E+12
137	Geotrygon_montana	133.86	0	0	0	100	0	0	0	0	0	NA	NA	NA
138	Geranoaetus_albicaudatus	885	0	0	0	100	0	0	0	0	0	2	1	8.71E+12
139	Geranoaetus_albicaudatus	885	0	0	0	100	0	0	0	0	0	2	1	9785796175
140	Geranospiza_caerulescens	302.5	0	0	0	20	30	50	0	0	0	NA	NA	NA
141	Gnorimopsar_chopi	65.9	0	0	0	60	10	30	0	0	0	4	NA	5.93E+12
142	Grallaria_varia	119	0	0	0	100	0	0	0	0	0	2	NA	3.25E+12
143	Guira_guira	141	0	0	0	70	20	10	0	0	0	8.25	NA	8.03E+12
144	Habia_rubica	32.46	0	0	0	0	40	60	0	0	0	NA	NA	NA
145	Haplospiza_unicolor	15.9	0	0	0	80	20	0	0	0	0	3	NA	9.78E+11
146	Harpagus_diodon	200	0	0	0	0	0	70	0	30	0	2	NA	2.35E+12
147	Harpagus_diodon	200	0	0	0	0	0	70	0	30	0	2	NA	5.18E+12
148	Harpagus_diodon	200	0	0	0	0	0	70	0	30	0	2	NA	5.05E+11
149	Heliothryx_auritus	5.4	0	0	0	0	0	50	40	10	0	2	NA	6.89E+12
150	Hemithraupis_guira	12	0	0	0	0	0	10	90	0	0	NA	NA	9.38E+12
151	Hemithraupis_ruficapilla	11	0	0	0	0	0	10	90	0	0	NA	NA	6.49E+11
152	Hemitriccus_diops	10	0	0	0	0	100	0	0	0	0	2	NA	7.37E+11
153	Hemitriccus_nidipendulus	7.5	0	0	0	0	80	20	0	0	0	2	NA	5.42E+11
154	Herpetotheres_cachinnans	623.58	0	0	0	33	33	33	0	0	0	NA	NA	NA
155	Herpsilochmus_rufimarginatus	10.58	0	0	0	0	0	100	0	0	0	NA	NA	6.81E+11
156	Hirundinea_ferruginea	30.6	0	0	0	0	33	33	33	0	0	NA	NA	NA
157	Hylophilus_poicilotis	10.4	0	0	0	0	20	60	20	0	0	NA	NA	6.73E+11
158	Hypoedaleus_guttatus	38.8	0	0	0	0	0	100	0	0	0	NA	NA	8.30E+11
159	Icterus_pyrrhopterus	35.44	0	0	0	0	20	40	40	0	0	2.2	NA	6.58E+12
160	Jacana_jacana	106.24	0	0	50	50	0	0	0	0	0	4	NA	1.38E+13
161	Knipolegus_cyanirostris	15.4	0	0	0	0	100	0	0	0	0	1.7	NA	1.58E+12
162	Knipolegus_cyanirostris	15.4	0	0	0	0	100	0	0	0	0	1.7	NA	5.74E+11
163	Knipolegus_lophotes	31.8	0	0	0	50	50	0	0	0	0	3	NA	1.32E+12
164	Knipolegus_nigerrimus	20.3	0	0	0	50	50	0	0	0	0	NA	NA	7.89E+11
165	Laniisoma_elegans	47.4	0	0	0	50	50	0	0	0	0	NA	NA	23578354210
166	Laniisoma_elegans	47.4	0	0	0	50	50	0	0	0	0	NA	NA	3.28E+11
167	Laniisoma_elegans	47.4	0	0	0	50	50	0	0	0	0	NA	NA	1.73E+11
168	Lathrotriccus_euleri	11.33	0	0	0	0	100	0	0	0	0	2.45	NA	56494880666
169	Lathrotriccus_euleri	11.33	0	0	0	0	100	0	0	0	0	2.45	NA	8.27E+12
170	Lathrotriccus_euleri	11.33	0	0	0	0	100	0	0	0	0	2.45	NA	1.95E+12
171	lcterus_pyrrhopterus	35.44	0	0	0	0	20	40	40	0	0	NA	NA	NA
172	lctinia_plumbea	249.9	0	0	0	0	0	0	20	80	0	NA	NA	NA
173	Legatus_leucophaius	22.2	0	0	0	0	0	20	80	0	0	2.5	NA	1.08E+13
174	Lepidocolaptes_angustirostris	29.59	0	0	0	0	40	60	0	0	0	3.5	NA	6.58E+12
175	Lepidocolaptes_falcinellus	27.92	0	0	0	0	0	50	50	0	0	NA	NA	4.98E+11
176	Leptasthenura_setaria	11	0	0	0	0	0	50	50	0	0	NA	NA	3.95E+11
177	Leptodon_cayanensis	474	0	0	0	0	50	50	0	0	0	NA	NA	NA
